game,track.id,track.name,track.artist,track.album.name,track.album.release_date,track.album.release_date_precision,track.explicit,track.duration_ms,track.popularity,track.external_urls.spotify,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Just Dance 2021,7l2WXhRE07NMMN6XZUQzwJ,Paca Dance,The Just Dance Band,Paca Dance (Just Dance 2021 Original Creations & Covers),12/11/2020,day,FALSE,164750,42,https://open.spotify.com/track/7l2WXhRE07NMMN6XZUQzwJ,0.868,0.841,11,-6.363,0,0.122,0.0592,0.000324,0.0577,0.881,124.943
Just Dance 2021,3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,Fine Line,13/12/2019,day,FALSE,207133,86,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,0.676,0.771,8,-3.675,1,0.0483,0.0237,7.00E-06,0.102,0.569,99.048
Just Dance 2021,2RN67OWSPhxfJdrwS5WS4Q,Yameen Yasar,DJ Absi,Yameen Yasar (Just Dance 2021: Original Creations & Covers),12/11/2020,day,FALSE,204000,30,https://open.spotify.com/track/2RN67OWSPhxfJdrwS5WS4Q,0.633,0.771,0,-6.505,1,0.101,0.0218,1.33E-05,0.326,0.891,154.872
Just Dance 2021,6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",29/03/2019,day,FALSE,168839,75,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044
Just Dance 2021,6PwbVXIomkvk4YcafiOc6i,Bailando,Paradisio,Tarpeia,1997,year,FALSE,229333,65,https://open.spotify.com/track/6PwbVXIomkvk4YcafiOc6i,0.647,0.94,6,-8.759,1,0.0394,0.0836,0.00962,0.119,0.835,132.824
Just Dance 2021,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,After Hours,20/03/2020,day,FALSE,200040,91,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005
Just Dance 2021,1yMvxlVkxC2KFjstP9Au9V,"Boy, You Can Keep It",Alex Newell,"Boy, You Can Keep It",12/02/2020,day,FALSE,147911,46,https://open.spotify.com/track/1yMvxlVkxC2KFjstP9Au9V,0.809,0.858,7,-4.244,1,0.132,0.0492,6.99E-06,0.0695,0.909,120.029
Just Dance 2021,2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,17/10/2019,day,FALSE,209438,80,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027
Just Dance 2021,06VFJ6o6ywoSdrSWMZMIoN,Georgia,Tiggs Da Author,Georgia,23/07/2015,day,FALSE,195320,43,https://open.spotify.com/track/06VFJ6o6ywoSdrSWMZMIoN,0.67,0.884,11,-2.875,0,0.215,0.141,0,0.291,0.536,143.778
Just Dance 2021,4QoleZiJQXnPP1FDmdoxHD,Dibby Dibby Sound (DJ Fresh vs. Jay Fay),"DJ Fresh, Jay Fay & Ms. Dynamite",Dibby Dibby Sound (DJ Fresh vs. Jay Fay),31/01/2014,day,FALSE,195310,32,https://open.spotify.com/track/4QoleZiJQXnPP1FDmdoxHD,0.787,0.954,1,-2.174,1,0.149,0.0259,4.22E-05,0.624,0.705,112.019
Just Dance 2021,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,Don't Start Now,31/10/2019,day,FALSE,183290,80,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941
Just Dance 2021,3XokLNiEpSeTyeMeeKKPlj,Till the World Ends,The Girly Team,Till the World Ends (Just Dance 2021 Original Creations & Covers),12/11/2020,day,FALSE,208958,27,https://open.spotify.com/track/3XokLNiEpSeTyeMeeKKPlj,0.722,0.769,8,-6.388,1,0.0606,0.0114,2.08E-05,0.373,0.574,131.972
Just Dance 2021,2HtcPHFdo7eu4Ilbvb0BVI,Feel Special,TWICE,Feel Special,23/09/2019,day,FALSE,206866,1,https://open.spotify.com/track/2HtcPHFdo7eu4Ilbvb0BVI,0.709,0.959,1,-1.339,1,0.0603,0.0296,0.00188,0.107,0.644,128.983
Just Dance 2021,0P9nVsSehdmUwyIQNmtgXM,Heat Seeker,DREAMERS,Heat Seeker,28/02/2020,day,FALSE,174592,41,https://open.spotify.com/track/0P9nVsSehdmUwyIQNmtgXM,0.47,0.932,5,-3.542,0,0.0915,0.00665,0,0.543,0.584,159.961
Just Dance 2021,7uaSDIL9QzabF2Je0FyDZ7,Lacrimosa,Apashe,Requiem,23/02/2018,day,FALSE,217333,57,https://open.spotify.com/track/7uaSDIL9QzabF2Je0FyDZ7,0.604,0.789,5,-2.437,0,0.137,0.0104,0.292,0.338,0.563,135.02
Just Dance 2021,1ayaOin9hxCtyhg4UsBTpg,Kick It,NCT 127,NCT #127 Neo Zone - The 2nd Album,06/03/2020,day,FALSE,233013,63,https://open.spotify.com/track/1ayaOin9hxCtyhg4UsBTpg,0.681,0.847,7,-2.462,1,0.0869,0.0306,0,0.0808,0.507,167.031
Just Dance 2021,0k664IuFwVP557Gnx7RhIl,Juice,Lizzo,Cuz I Love You,19/04/2019,day,TRUE,195144,77,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl,0.767,0.889,7,-2.988,1,0.0963,0.00611,0,0.402,0.843,119.93
Just Dance 2021,6RyaV7owmVU6fzEPE17sF1,Que Tire Pa Lante,Daddy Yankee,Que Tire Pa Lante,18/10/2019,day,FALSE,210520,70,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,0.658,0.901,7,-2.814,1,0.0357,0.0478,0,0.12,0.708,93.979
