Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed,Duos score,Duos top1,Duos kd,Duos winRatio,Duos matches,Duos kills,Duos minutesPlayed,Trios score,Trios top1,Trios kd,Trios winRatio,Trios matches,Trios kills,Trios minutesPlayed,Squads score,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills,Squads minutesPlayed,LTM score,LTM top1,LTM top3,LTM kd,LTM winRatio,LTM matches,LTM kills,LTM minutesPlayed,Source
UpstateNate518,637402,134,1.12,2.1,6407,7016,27794,3027986,1246,1.58,7.7,16210,23712,118773,60663,12,1.38,3.8,319,423,2670,1094317,232,1.21,2.9,8057,9443,45421,31504,11,14,1.71,4.6,239,389,1172,
SpartaTheBox,863057,357,2.51,4.5,7976,19087,30140,3169403,2393,3.36,14.6,16344,46884,106567,126283,64,3.05,12.9,495,1315,4789,620095,290,2.63,8.3,3506,8470,22675,302553,181,257,5.72,14.3,1262,6188,9278,
Firestorm0_0,957144,132,0.76,2.3,5759,4280,41939,2777069,1111,1.01,7,15978,15029,115610,172343,48,1.17,6.9,692,756,7689,908710,182,0.74,3.1,5821,4200,40923,1836390,200,260,3.58,5.2,3815,12959,31152,
NOS_Z3R0 TTV,606741,399,3.45,12.6,3176,9581,20024,3067167,3759,4.98,22.4,16795,64931,89006,127036,78,4.79,18.8,414,1610,4604,1009412,798,3.55,12.6,6346,19691,35306,281436,245,223,5.79,19.2,1274,5961,8062,
E-Girl Batchii,3845483,2511,4.09,16.7,15058,51276,130026,174379,376,3.92,14.5,2594,8690,6411,54733,15,2.16,6.4,233,470,2509,728191,518,3.7,11.8,4375,14280,26714,9760,13,8,3.43,13.8,94,278,374,
TEBELKING,4784847,782,0.95,5.5,14231,12721,257745,6106,0,0.74,0,46,34,326,41,0,0,0,1,0,3,7842,2,1.48,6.1,33,46,348,49146,3,4,0.5,1.4,207,101,2591,
Βigi,208402,42,1.53,2.8,1514,2248,8931,1848901,1395,3.03,12.5,11191,29663,63142,725024,402,4.42,15.7,2568,9580,25422,2000810,745,2.27,6.5,11395,24152,73946,264394,104,129,4.4,7.6,1365,5551,7948,
D3strі,1989566,1687,4.12,12,14005,50791,65320,860405,1362,5.56,23.9,5709,24171,25656,73667,49,4.65,23.4,209,744,2586,1841117,1982,4.7,20.2,9817,36851,62486,152430,174,78,5.72,14.6,1195,5845,4350,
Flor .,136092,64,1.17,6.4,1003,1102,5688,3354706,1556,1.68,7.3,21184,33000,131740,252568,128,2.83,12.9,991,2446,9780,1017245,404,1.59,7.3,5551,8188,40183,447615,130,124,2.51,5.1,2525,6002,13910,
V I R U S,197088,31,1.03,1.7,1811,1839,7799,4299695,3528,6.31,24.9,14151,67018,143101,37918,14,1.92,8.8,160,280,1538,211295,76,1.95,6.1,1237,2268,8109,356270,178,306,3.67,10.5,1699,5580,12649,
psn(md_fortnite),3884285,837,0.97,6.2,13483,12328,175313,422336,110,0.53,4.4,2504,1272,19838,27332,9,0.76,6.8,132,93,1177,419955,118,0.75,6.1,1948,1381,18601,1134442,22,50,2.91,0.8,2914,8402,36108,
vSymptoms.tv,955749,254,1.86,4.1,6130,10954,42786,1792474,1065,3.21,11.1,9612,27397,65825,653662,149,1.93,4.9,3020,5546,30079,1350946,442,2.18,4.8,9124,18898,58076,63201,43,57,3.52,7,611,1997,2045,
X_X LiX X_X,1175715,106,1.24,1.5,6840,8372,48957,2016931,410,1.41,3.6,11494,15671,87164,296037,40,1.19,2.1,1872,2188,13523,1264266,125,1.05,1.5,8599,8871,55707,397267,8,19,3.14,0.5,1463,4565,15719,
royаl.,836374,85,1.05,0.9,9658,10075,37393,2936909,836,1.17,4.3,19621,22034,123462,127602,29,1.16,4.2,697,776,5508,845042,206,1.13,3.1,6723,7350,35291,377704,93,149,2,3.1,2998,5800,14706,
Shardiny,1889613,553,2.05,5.1,10808,21019,72202,1799562,1640,4.51,28.2,5815,18815,56375,613398,331,2.42,15.4,2155,4406,23370,443922,241,2.64,11.4,2109,4933,16328,115629,35,41,4.21,5.9,591,2339,3875,
YosoyHavok,1945735,588,2.34,4.3,13632,30481,67872,370090,222,2.54,7.7,2878,6745,13838,58275,16,1.76,5.8,274,455,2615,2358268,757,2.15,6,12608,25462,91227,275761,94,110,3.26,5.5,1706,5249,9965,
