Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed,Duos score,Duos top1,Duos kd,Duos winRatio,Duos matches,Duos kills,Duos minutesPlayed,Trios score,Trios top1,Trios kd,Trios winRatio,Trios matches,Trios kills,Trios minutesPlayed,Squads score,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills,Squads minutesPlayed,LTM score,LTM top1,LTM top3,LTM kd,LTM winRatio,LTM matches,LTM kills,LTM minutesPlayed,Source
herK0kales,1533591,164,1.34,1.3,12686,16721,59160,580284,145,1.21,3.5,4155,4872,24034,340673,97,1.72,4.9,1991,3261,14123,1145428,211,1.45,2.7,7808,10996,47127,421627,30,21,1.74,2.3,1291,2200,10196,
LNDONY,2134902,631,1.9,4.5,13962,25354,86958,1317630,1134,5.79,27.2,4176,17615,44023,35623,8,2.08,5.5,146,287,1666,115370,69,1.87,3.3,2064,3733,4699,169973,40,56,3.32,4.7,855,2706,4921,
M10 Pepper,942366,859,4.39,19.2,4481,15886,36415,428714,732,5.95,22.3,3276,15128,14258,664348,344,3.73,15.4,2238,7061,27654,1561145,1555,5.53,23,6768,28812,56109,158800,183,94,7.81,22.2,825,5013,4160,
DAVIDLAG-ECUADOR,1088385,258,1.52,2.7,9645,14305,39928,785816,500,1.27,5.6,8993,10826,29717,346141,73,1.5,4,1848,2659,16144,1354317,329,1.37,3.2,10211,13503,56483,220734,43,56,3.89,5.8,736,2694,5583,
Eton1127 YT,2137532,194,1.2,1.3,15347,18143,93604,261689,75,1.28,3.5,2141,2637,11266,454103,81,1.33,3.6,2245,2888,22500,743616,107,1.3,2.1,5133,6541,33494,55649,13,13,2.14,3.2,403,834,1755,
Father Brooks,153639,90,1.85,5.7,1587,2768,6303,1290727,1006,2.97,10.7,9380,24835,47598,354670,108,2.23,6.8,1580,3279,15599,1795668,955,2.24,6.8,14070,29321,72972,154311,82,98,4.48,10.5,780,3130,4478,
Sрicy,2215357,1847,4.23,9.2,20001,76734,79948,123645,110,3.41,8.4,1314,4101,4880,302276,109,2.44,9.5,1143,2519,13981,955247,707,3.67,11.1,6387,20864,38363,16478,37,21,4.74,9,413,1783,552,
Jonny_Quinn,1588753,655,2.48,6.6,9924,23002,56272,68575,133,2.02,9.8,1363,2482,2466,1385,0,1.62,0,8,13,66,1933300,712,2.07,5.9,12028,23461,73255,2565,2,1,4.61,8,25,106,83,
rhihno,1548577,529,2.72,7,7588,19189,58600,222943,145,3.64,12.6,1150,3659,8088,621301,341,3.07,15.3,2230,5793,24492,1200633,579,3.29,10,5781,17106,45010,43696,26,25,4.38,9.8,266,1051,1516,
BaySoldier,1198540,778,3.61,8.6,9081,29955,43983,1180176,1095,3.86,9,12132,42567,41631,216239,82,2.17,9.4,877,1724,9649,996246,987,3.69,14.3,6923,21906,37846,122584,130,102,5.33,12.5,1043,4863,3691,
Ackerman 76,625820,120,1.73,2.6,4605,7754,22498,1826465,949,2.4,8.4,11253,24730,63023,540253,164,2.57,6.5,2509,6030,22396,606677,143,1.7,3.5,4120,6771,23501,372414,70,75,3.31,5.4,1306,4092,8774,
DubNasty23,3276606,371,1.01,2.5,14699,14449,141851,116364,60,2.79,11.4,527,1303,4528,9199,4,1.31,7.7,52,63,394,190148,52,1.58,4.9,1066,1598,7956,299591,12,15,2.79,1.3,955,2630,8327,
D0nger.,54535,6,1.41,1.5,397,553,2275,1936017,1168,2.7,13.3,8800,20626,67252,73203,19,1.81,5.7,331,565,3129,1526774,904,3.05,15.6,5786,14880,50224,1213459,93,98,7.92,5,1847,13900,16359,
Mampuu,352174,98,1.49,5,1958,2773,14057,1840170,1082,2.74,15,7192,16716,71287,250775,134,2.81,14.7,912,2185,9963,1129436,410,1.99,8.1,5064,9278,45731,452080,161,225,4.89,10,1613,7105,15461,
J0hny sinss,836643,217,1.83,4.6,4756,8303,32786,672537,299,2.99,9.5,3145,8518,25837,606981,145,1.99,5,2908,5506,27664,1471760,404,2.25,5.8,7003,14816,60432,35799,8,2,5.2,7.4,108,520,629,
аkiooo.,846001,160,1.68,3,5339,8695,36665,530900,298,2.02,7.1,4204,7888,19927,971101,353,2.35,9.5,3731,7938,42111,1242298,457,1.67,4.3,10570,16901,50724,188446,65,74,2.51,4.5,1457,3496,6131,
NEW KidPlayer,1067470,298,1.65,3.2,9355,14955,39464,533584,236,1.69,4,5910,9603,19489,954365,397,2.9,9.3,4261,11202,33685,1032124,324,1.83,4,8011,14059,39160,234106,93,92,2.95,5.2,1772,4953,6933,
ArielMove,2448747,385,1.24,3.8,10032,11957,102912,543936,146,1.4,6.3,2322,3037,23802,188798,54,1.78,7,772,1279,8451,405384,64,1.09,3.5,1817,1918,18242,344141,7,17,5.17,0.6,1090,5603,13546,
LumacY,947129,732,2.68,10.3,7109,17102,33799,1339970,1158,3.21,14.6,7931,21752,44594,64250,16,2.68,5.4,295,749,2528,1232287,694,2.56,8.4,8255,19376,44006,118409,189,141,2.76,10.2,1862,4623,3708,
あの谷次郎,129017,22,1.01,1.9,1149,1139,5260,2214587,1089,1.94,11.5,9453,16217,86808,444008,238,2.96,15.2,1569,3938,17215,799122,176,1.52,4.5,3894,5669,34035,170792,57,71,2.37,8.5,671,1453,5317,
MΑTTΥP,36503,23,1.87,10.7,214,357,1423,490316,501,3.01,22.5,2222,5173,17216,138753,63,1.95,12.1,522,893,6276,2922926,1927,3.25,18.1,10672,28382,104668,48092,62,32,4.46,21.4,290,1018,1294,
sF Leyenda ツ TV,1187673,420,1.64,6,6944,10673,47498,894142,531,2.65,12.8,4161,9633,33685,471707,182,2.17,9.1,2006,3962,21145,1028225,406,1.93,7.8,5217,9302,41368,234064,54,71,3.95,7.7,705,2572,6334,
AgroJ YT,590733,91,1.26,2.1,4249,5258,25431,1119573,590,2.27,8.8,6677,13835,41486,606187,172,1.93,6.3,2743,4967,27358,1250085,245,1.65,3.3,7343,11701,53204,783056,234,322,2.49,5.4,4326,10188,23381,
MsPoison_IvyTTV,1161008,48,1,0.8,6373,6344,49191,1713248,558,0.78,5.3,10525,7761,70803,117412,19,0.94,3.3,576,526,5272,591122,63,0.78,1.6,3969,3042,25299,526244,50,29,1.62,3.8,1317,2047,10760,
Guru Guru Waton,118248,17,1.2,1.8,926,1095,4765,2244277,1133,2.48,11.1,10183,22412,82578,221964,95,2.14,9.9,962,1852,8656,996231,287,1.97,5.6,5129,9554,38065,327038,50,82,4.25,4.6,1083,4389,9552,
OMC Nuchos,263978,47,0.85,1,4660,3918,10911,2057713,919,1.21,9.1,10151,11168,83350,169877,85,1.58,14.3,593,801,7103,1087416,186,1.01,3.2,5784,5679,47634,562559,20,13,6.29,1.1,1835,11408,16287,
glaner jo,185062,11,1.66,0.8,1305,2146,6696,3361911,871,1.74,4.5,19407,32242,135966,10159,2,1.53,4.1,49,72,472,28552,4,1.12,2.1,189,207,1199,47115,5,12,1.99,2.6,195,378,1708,
Retruffox,446269,175,2.09,3.8,4604,9273,17013,758264,722,2.76,10.8,6699,16473,24563,969163,285,1.97,6.7,4260,7831,42203,1404509,545,2.4,6.1,8933,20143,52895,199921,151,131,3.08,5,3041,8907,6366,
Buros13,798828,111,1.33,3.1,3630,4676,33332,2311289,735,1.33,7,10457,12924,96921,78534,22,3.29,7.1,310,947,3179,389483,53,1.07,2.8,1923,1992,17054,12246,6,9,1.22,12.8,47,50,356,
ᴹʳ.GLΘPEZ ᴳᵒᵈ シ,759118,52,1.07,1.3,4158,4403,33202,1587328,812,1.79,12.9,6294,9800,60970,425611,171,1.39,9.4,1815,2287,18387,810331,169,1.28,4.3,3970,4881,34494,310233,10,17,4.85,1.1,941,4514,12291,
SOX_Eastpak,572679,145,1.31,3.8,3795,4775,22655,1858818,1036,1.69,9.3,11189,17129,71566,276143,135,2.76,13,1039,2492,10966,870266,306,1.33,5.1,6001,7584,35983,91825,35,46,1.76,4.1,861,1450,2930,
faria,119764,280,3.05,7,4022,11415,4706,2949813,4069,4.52,30.8,13194,41242,97251,110452,50,3.95,18.5,271,873,3739,397256,440,3.17,11.7,3774,10554,15036,436036,426,641,4.29,27.3,1563,4882,14552,
JACK PALANCE,527973,25,0.95,0.4,6009,5664,21152,2441005,697,1.15,4,17460,19224,103818,146547,42,1.57,6,703,1037,6015,466085,72,0.77,1.5,4938,3729,19824,204400,33,44,1.61,2.6,1282,2015,6432,
ZodeXӝ,1123364,357,1.79,3.1,11685,20234,40591,585546,368,1.97,8.6,4293,7715,20549,766806,246,1.81,6.9,3551,5969,33389,1101850,331,1.72,4.1,8043,13244,42995,65016,38,34,1.73,4,956,1590,2242,
Abduzido 999,1914192,818,3.38,8.3,9842,30534,68441,452275,1009,4.08,18.8,5355,17745,13696,263264,129,3.3,13.7,945,2695,10156,946586,681,3.74,12.2,5603,18384,33546,43368,56,42,3.92,9.1,616,2197,1137,
Iluvhugs,1233516,339,1.52,3.9,8774,12858,51175,882759,630,2.05,9.9,6354,11762,32403,119585,24,1.68,5.2,458,731,5471,1340463,473,1.72,5.3,8929,14570,56163,141107,47,28,5.04,7,667,3125,4586,
ÄĊỆ,1286927,423,1.98,5.6,7532,14079,45381,1020116,527,1.65,7,7568,11649,38233,181391,42,1.39,4.6,922,1226,8311,1088801,323,1.6,4.6,7043,10781,42346,115490,42,54,2.07,5.6,748,1460,3673,
ApexMinato,797044,234,1.64,3.4,6932,10953,32360,1235340,638,1.7,7.2,8869,14007,46426,190609,88,2.37,11.2,784,1649,7766,1351292,554,1.96,6.3,8805,16206,51386,83338,17,14,1.91,2.6,655,1219,2863,
xDerfelCadarn,3436439,263,0.9,1.2,22717,20182,162232,49710,12,0.35,1.8,667,228,2543,1729,2,2.33,40,5,7,48,84831,43,2.38,11.4,376,794,3103,122944,6,1,1.28,1.4,418,526,1964,
CookiePeanuts20,5439,1,0.51,1,100,50,246,1348075,801,1.91,11.9,6745,11358,49190,94525,23,1.67,5.1,447,710,4098,2122980,620,1.32,4.6,13567,17075,83438,174267,62,70,2.22,8.3,749,1522,6007,
Stanley._,1879415,174,1.42,1,17293,24389,77335,378202,225,1.56,4.9,4604,6821,13719,549356,122,1.5,4.3,2837,4074,24674,764517,183,1.45,2.6,7079,10000,32152,31319,26,24,1.55,3.7,697,1039,993,
Ethereum 10k,745541,44,0.86,0.9,4970,4225,32976,1628904,727,1.04,10.1,7231,6775,69247,140789,53,1.59,9.4,564,811,6203,1055250,273,1.8,6.2,4424,7478,43761,238306,24,33,3.94,4.7,506,1900,6233,
twitch_evermix19,809390,76,0.71,1.5,5129,3611,37925,1502746,481,1.99,6.4,7502,13944,64034,271805,112,2.63,11.6,969,2254,12151,988981,211,1.59,4.4,4785,7251,44308,171652,14,38,2.94,2,698,2010,6254,
Lowborn007,1255584,74,0.87,0.9,7796,6703,55134,639475,183,1.83,6.2,2932,5024,27091,160913,55,3,9.8,563,1524,6316,1516849,306,1.86,4.4,6885,12217,62411,167251,19,5,4.19,5.8,327,1290,3312,
Bi TAX YT,247561,54,1.03,1.6,3315,3367,10678,2415167,1133,1.39,6.5,17383,22581,90841,209458,113,1.94,13.5,835,1401,7629,696067,172,1.09,2.4,7234,7716,28703,476472,215,365,1.66,6,3599,5601,17195,
breakdownlow,1009945,84,1.16,0.8,9991,11481,40860,858675,498,1.11,6.6,7572,7874,33471,48263,10,1.12,3.9,257,277,1953,1649537,349,0.97,2.2,15824,15062,66899,88825,66,64,1.69,6.6,1006,1593,3333,
TTV Unlucky man,909175,150,2.2,3.2,4670,9929,34806,388918,156,3.48,8.7,1802,5736,14127,688985,173,2.41,5.3,3242,7384,29778,1581043,350,2.41,4.6,7562,17385,64358,66794,7,13,5.83,3,234,1323,1769,
VARCH4R,217690,63,2.33,6.2,1014,2213,7664,1802337,1406,3.08,21.5,6551,15835,60217,44772,23,2.1,13.4,172,313,1793,1501514,552,1.73,7.3,7566,12156,57975,548630,144,84,6.37,10.3,1400,8003,13406,
GkingTV,150243,11,1.43,1.3,855,1206,6348,2475794,1208,2.28,10.9,11046,22460,90082,145240,65,2.13,10.8,603,1146,5630,795398,241,1.86,6.4,3772,6583,30999,227091,54,74,4.15,6.7,806,3121,7794,
ilMos7ro,559682,278,1.74,4.7,5903,9794,22282,1737593,1045,2.66,13.6,7706,17710,66962,237530,112,3.28,13.1,855,2434,9339,1032851,486,1.91,6.7,7220,12863,42821,229546,40,26,6.66,5.7,706,4436,5917,
Кrush,2086464,293,1.56,1.2,25090,38780,75252,144318,116,1.58,5.3,2180,3255,5194,24270,3,1.49,2.2,134,195,1057,1305811,367,1.51,2.9,12530,18334,49756,131617,56,65,1.8,4.3,1291,2223,4622,
xJeFiiN,689254,517,2.96,15.8,3274,8159,24483,1052844,1677,3.58,24.7,6789,18307,37174,287238,276,7.38,42.3,653,2783,9736,1537018,1456,3.59,22.1,6580,18409,54761,230472,192,140,6.38,17.3,1112,5866,6845,
baby estefi,623677,111,1.33,2.7,4094,5286,24769,1556285,984,2.55,12.8,7668,17070,55024,177242,118,4.01,18.6,634,2069,6134,1205274,434,1.22,5.5,7924,9116,47997,497478,199,281,2.1,8.8,2264,4336,17355,
Cz - xSn0Wツ,234436,40,1.33,2.2,1847,2401,9845,2553961,868,1.8,5.3,16527,28206,104013,279690,96,2.29,8.3,1159,2433,11893,503471,101,1.63,3.1,3213,5066,20909,321757,48,67,1.74,2.3,2102,3578,10321,
Rub e pera,1311632,150,1.06,1.7,8698,9034,57141,711435,309,1.53,7.9,3908,5508,28516,447086,128,1.31,5.8,2205,2719,20990,1090270,227,1.12,3.3,6866,7452,47022,70523,19,25,2.17,5.1,371,763,2631,
twitch_Janivi,1074440,142,1.09,1.8,7704,8236,47095,1608790,886,1.43,8.7,10146,13264,60461,172581,44,1.47,5.7,777,1077,7624,705226,163,1.21,3.4,4812,5646,29145,138524,40,56,4.74,6,666,2965,5013,
عبسي1998,697123,82,0.98,1.3,6540,6310,28372,1077590,344,1.08,3.5,9839,10209,44377,496689,126,1.79,4.8,2603,4438,20971,1294327,256,1.52,3,8615,12741,51409,385897,77,109,2.66,3.7,2088,5359,13866,
KING-HYPER.,192961,60,1.09,3.5,1705,1788,7749,1704177,757,1.69,5.7,13386,21399,62356,39672,13,2,6.4,202,378,1547,1605009,781,1.97,9.3,8435,15055,58796,423733,201,255,3.35,7.4,2701,8377,14140,
PuzzleMagnet,53345,2,0.47,0.5,438,204,2730,2440031,645,0.82,3.2,20284,16031,104636,201326,60,0.67,5.7,1045,657,9465,864344,172,0.85,2.6,6492,5351,36067,71146,28,39,1.19,5.3,526,592,2431,
A6usM,942187,210,1.59,3.4,6121,9376,40731,815899,458,2.2,7.7,5963,12098,29567,917589,320,1.96,8,4011,7226,39609,881381,263,1.83,4.9,5389,9367,37177,184040,85,95,3.01,9.2,923,2519,4884,
SRD_iRehzZツ,336464,81,1.62,2.9,2786,4380,13312,1516279,1106,3.21,13.1,8430,23482,53955,461073,203,2.8,12,1690,4163,19222,1244219,464,2.22,6.2,7487,15602,48561,212975,48,51,3.96,4.1,1182,4487,6446,
qкeu,450358,102,1.61,4.2,2445,3781,18791,1708742,887,2.53,10.5,8442,19085,59520,332213,80,1.88,5,1596,2850,14488,1063476,464,2.09,7.1,6551,12750,39000,226618,48,48,5.98,5.7,840,4736,7267,
Juicycrits,1098398,989,4.25,17.3,5719,20126,34966,1381063,2014,5.45,27.4,7362,29151,39753,330035,304,8.24,38.2,796,4056,9724,747129,692,4.96,21.6,3205,12468,23967,225939,113,78,7.41,14,809,5159,3671,
headz0tHD,2459658,344,1.51,2.1,16354,24247,110181,201389,101,2.15,4.5,2225,4565,8140,243752,61,1.87,5,1216,2155,11153,649670,138,1.82,2.7,5047,8929,28734,31569,12,10,3.31,5.6,213,666,1192,
pr1nznook,369165,99,2.23,4.3,2314,4933,13866,909141,631,3.2,12.8,4925,13752,31674,234739,107,3.68,12.3,868,2801,9026,2041139,608,2.44,4.4,13669,31827,75357,50430,33,32,4.06,8.1,408,1523,1606,
sиow OhSiNena.,797678,256,1.48,7,3681,5060,35573,1316844,810,2.46,10.9,7414,16217,51902,231008,84,2.1,9.1,920,1755,10687,1203750,541,1.99,7.6,7119,13064,49145,101673,33,38,4.23,7.4,446,1749,2979,
MASSV3,3396390,255,0.9,1.1,24149,21403,149224,148430,40,1.25,5,801,952,6302,1244,0,0.45,0,11,5,66,10099,1,1.03,1.5,66,67,448,517727,4,10,3.69,0.7,611,2238,7390,
Micro Temper,67378,29,0.78,3.9,739,556,2869,2794462,1998,2.27,18.6,10740,19810,102982,126521,68,2.26,15,454,872,4911,566660,307,1.42,12.5,2464,3065,22570,321010,66,73,5.19,8.4,790,3760,7511,
TTV-Mark_Jess,743118,121,1.28,3.8,3214,3949,31580,2065258,559,2.05,6.2,9003,17279,87240,130066,39,2.7,6.9,568,1426,5356,614605,144,2.04,5.2,2782,5379,25032,456947,47,9,4.82,9.3,507,2218,5508,
DasLooney,18566,0,0.26,0,258,66,908,3077201,1372,0.82,8.8,15542,11625,124392,228714,86,1.21,9.4,918,1010,9338,227811,44,0.75,3.5,1263,917,9802,1322919,94,105,3.84,2.8,3339,12451,35730,
NIGHT X ZERO,611792,94,1.06,1.4,6542,6823,23359,853201,311,1.91,5.4,5765,10412,33715,321462,76,2.49,3.9,1959,4697,13233,1736367,405,1.75,3.4,11909,20131,69035,590900,96,158,2.11,2.4,3994,8222,19711,
tizycribs,1529655,322,2.01,4,8113,15698,67815,936194,828,3.94,17.9,4624,14972,28712,143604,41,2.02,6.9,591,1110,6357,939301,552,3.11,11.2,4949,13654,35363,49461,22,34,5.09,15.9,138,591,1205,
Zіd FEHU,1779654,585,2.87,4.5,13101,35897,65500,842273,1370,5.12,20.7,6629,26951,31642,,,,,,,,926320,1122,4.31,16.3,6876,24804,38624,22989,66,51,6.76,17.9,368,2043,705,
RAGNA-AU,1791983,1240,6.72,25.7,4822,24088,50476,1118003,944,4.48,25.5,3709,12389,34393,214175,122,3.73,17,717,2217,7970,415424,220,3.3,14.7,1499,4223,14388,453425,213,219,7.84,16.4,1296,8491,11519,
SHS Strix 75,1664630,247,2.06,2.3,10753,21608,62379,470094,305,3.17,11.3,2693,7571,15097,515334,192,2.52,8.9,2162,4955,21326,896030,384,2.67,7.8,4951,12194,34097,40253,15,15,4.39,7.4,203,825,1221,
DZeSports Karim,1116919,408,2.89,5.4,7597,20800,40036,410677,446,3.82,12.3,3633,12184,13118,772866,339,3.45,11.6,2934,8956,32115,1243885,640,3.06,8.6,7431,20772,48275,86513,54,73,3.18,5.8,926,2772,2549,
HS oTACHE,196122,46,1.37,2.3,1997,2671,7955,1801168,1126,2.19,13,8634,16471,64368,245529,111,2.94,12.4,893,2296,9277,1299769,418,1.77,5.8,7196,12014,50050,397287,162,116,2.65,8.4,1920,4663,12766,
Twitch GoatyyF1,1948731,647,2.43,6.9,9368,21217,79046,301660,164,2.83,10.8,1517,3825,11281,392496,145,2.45,9.3,1566,3482,17880,896655,366,2.41,8.3,4398,9716,40301,41427,13,15,3.62,6.2,211,717,989,
trips ackerman.,902339,119,1.69,2.1,5765,9534,37404,288273,142,2.09,6.3,2244,4400,11309,849503,212,2.17,5.2,4111,8450,36775,1501208,327,1.94,3.7,8951,16693,63033,132917,41,45,3.54,6.4,636,2107,4044,
Mypkun,32562,2,0.34,0.1,1551,523,1991,3500838,209,0.08,0.5,39066,3278,204887,254,0,0.67,0,3,2,10,9447,5,0.7,3.4,149,101,428,1330675,212,28,0.41,5.3,4016,1553,17097,
IamDrunk.,886987,197,1.39,3.4,5857,7854,33878,1506650,660,1.31,7.5,8770,10635,58489,371105,232,3.03,19.5,1189,2903,13789,768563,237,1.74,6.7,3538,5749,29977,343151,118,150,2.07,6.9,1713,3309,10607,
Sologamer,1629996,1507,4.47,14,10788,41527,50694,451387,345,4.32,11.7,2948,11236,15951,127609,35,3.8,7.1,495,1746,4973,1332836,740,3.37,8.9,8286,25395,49751,8691,34,10,4.04,9.9,345,1257,309,
JhnSmallBerries,2531534,973,0.9,10.7,9087,7329,112814,17993,17,0.64,2.4,706,438,890,2676,1,1,9.1,11,10,128,989542,315,0.76,5.1,6166,4433,45008,297084,45,33,5.13,4.4,1025,5030,8567,
MIB MiSTiCzinhoღ,1292889,448,2.19,4.9,9160,19054,50878,727944,702,2.72,10.6,6645,16175,25964,311295,50,1.6,3.2,1557,2417,14339,1208336,606,2.49,7.7,7853,18023,45889,130134,74,76,3.38,7.1,1037,3253,4541,
Yamasaki_,931663,366,1.48,7.8,4693,6401,38163,857549,1111,1.51,12.8,8712,11478,29523,363209,157,1.13,11.3,1386,1389,16846,1385720,828,1.45,7.9,10453,13916,54132,266786,165,177,3.63,9.3,1770,5821,9200,
ParniValjak77977,2352645,280,1.11,2.4,11558,12493,102990,432229,150,0.82,5.7,2626,2038,18985,99575,9,0.22,2.1,439,94,5861,659089,102,0.81,3,3393,2681,30755,204384,0,1,2.35,0,794,1866,8015,
Elrawdy,939713,76,1.75,1.1,6942,11989,34291,444171,129,1.79,4.7,2760,4709,16974,660565,155,2.42,4,3844,8914,25502,1495437,220,1.99,2.3,9773,19024,57619,75696,8,13,3,2.4,327,956,2547,
нadley вc,530752,166,2.12,9.6,1722,3299,20320,2641028,1483,1.02,10.4,14303,13033,109839,72980,39,1.62,18.2,214,284,2905,294419,104,0.74,5.7,1840,1291,12769,276976,31,63,4.08,3,1021,4036,10546,
ƬᵉᵉƊᵃⁿᴳ,626570,115,1.59,3.9,2914,4462,26346,2039822,1299,2.24,16.5,7896,14755,75540,346385,237,3.21,21.3,1113,2808,12470,508632,139,1.19,4.7,2957,3360,21110,2329497,1428,1649,2.55,17.7,8079,16931,74648,
FAMEaKi TTV,274064,116,1.8,2.9,3996,6987,11018,1208292,853,2.76,9.9,8575,21291,39808,411647,125,1.94,6.7,1854,3356,16836,1644641,731,2.25,5,14643,31308,59812,141062,56,73,3.44,5.4,1034,3361,4417,
ttv mario600gsrツ,445332,131,1.02,2.8,4746,4689,18360,2135385,1191,1.99,10.7,11177,19850,79879,175150,58,2.07,8.2,707,1341,7583,763821,201,1.51,4.2,4750,6858,31173,337416,47,81,3.06,2.2,2108,6308,12996,
ЯモDモΨモSBLモSSモD,680041,91,0.83,1.4,6714,5476,31489,1209613,844,1.04,8.6,9854,9351,48355,220869,63,1.18,6.4,991,1095,9737,1426776,314,0.96,3.5,8910,8268,64174,333934,54,78,1.78,3.1,1746,3015,12590,
ᵀʷᶦᵗᶜʰDannyTrips,137202,13,0.98,1,1368,1332,6178,2366962,1031,1.76,7.9,13127,21255,94458,363601,92,1.61,6,1544,2336,17142,662696,107,1.24,2.2,4768,5793,28546,56660,27,44,2.33,5.7,470,1031,1904,
IG Kamalo,734463,376,2.54,7.2,5227,12312,26048,1990335,2003,3.66,17.7,11346,34194,62340,104394,40,2.64,9.5,423,1012,4114,703727,469,2.86,9.4,4990,12952,24133,293800,143,173,6.38,12.7,1123,6257,9111,
шноisdeyvid,1865005,112,0.94,0.8,14309,13346,84181,385474,110,1.51,4.3,2553,3679,16454,493229,81,1.75,2.8,2929,4993,22988,789205,90,1.11,1.7,5242,5740,36591,390123,33,85,1.28,1.4,2356,2968,14215,
Rage907,143727,24,1.26,2.3,1030,1271,6316,2594430,1951,2.63,17,11445,24987,86146,199385,83,1.81,11,754,1217,8418,599447,224,1.71,5.8,3873,6233,22738,147648,75,77,4.31,10.3,728,2814,4437,
UEC_GameMaster15,173255,35,0.91,1.3,2701,2418,6910,2130779,804,1.77,5,15928,26822,85206,323576,97,2.67,6.8,1436,3572,12843,896696,182,1.37,2.2,8341,11157,36557,798526,204,320,2.87,3.9,5184,14300,27501,
Raikku.,1828923,936,1.84,8.3,11295,19033,74591,511728,641,2.64,14.6,4387,9875,16890,319479,97,1.6,6.7,1439,2153,15058,875150,618,1.99,8.2,7498,13667,34192,108005,305,247,2.68,13.7,2224,5145,2966,
NeFs Stodul,909765,196,2.37,2.7,7197,16600,33370,792872,504,3.69,13.9,3625,11507,26402,464234,133,2.56,6.5,2051,4917,19643,1366094,453,2.82,5.7,7904,21024,51206,26760,6,11,4.11,4.8,125,489,862,
Ꙅnakebali,1387350,375,1.66,4.1,9130,14513,56422,380720,286,1.9,9.5,3020,5196,13696,774966,374,2.99,13.8,2711,6991,31788,990333,422,2.01,7.6,5543,10298,39243,223324,128,119,1.77,5.6,2268,3798,5575,
J Infected HFWD,733033,57,1.07,1.1,5279,5568,30797,1435325,436,1.55,5.9,7336,10665,58639,245969,73,1.8,6.2,1185,1999,10098,1114709,187,1.27,2.8,6771,8356,46564,340198,48,110,1.68,2.4,1973,3243,12222,
tbz92,366075,109,1.83,9.3,1169,1944,14712,528729,285,2.58,14.9,1915,4211,20677,709454,204,1.88,6.8,2992,5229,32680,1926855,684,2.1,9.4,7301,13889,77932,71493,2,7,9.59,0.8,236,2243,2515,
SOUL KING Ϟ,418139,80,1.36,2.6,3024,3991,17043,1780949,956,2.42,9.8,9788,21349,62890,266212,108,2.94,9.4,1143,3044,10793,1056634,355,2.29,5.9,5968,12835,38681,455780,165,195,2.46,6.7,2446,5618,14914,
1Royal Ridge TTV,134642,20,0.63,2.5,789,488,6109,2552429,1026,0.66,7.1,14513,8961,106821,171533,62,1.02,8.4,738,692,7110,671827,165,0.73,4,4106,2890,28740,150943,20,34,1.31,2.9,690,880,4003,
AL Rabbit神,135089,19,0.96,2,954,898,6554,1718533,873,2.04,7.6,11417,21539,69363,909028,289,1.86,8,3592,6149,42710,765535,246,1.76,5.8,4257,7058,33587,277882,91,166,4.26,7.7,1183,4655,8154,
staralliance74,1272293,46,0.7,0.4,10291,7210,56284,1244625,324,0.8,4.7,6905,5258,55657,168387,34,1.43,4.2,803,1097,7240,842114,85,0.95,1.7,4863,4553,37274,68237,4,12,1.27,1.5,260,324,2504,
Riddle Maufin 7,1114573,777,5.6,14.5,5369,25731,38604,998420,1388,5.95,13.1,10590,54782,31941,675823,347,4.98,16.9,2054,8508,27189,738741,454,5.53,15.8,2871,13377,26789,24286,53,37,5.86,16.1,330,1622,589,
fiftytwo66,2973183,234,0.86,1.2,20062,17055,126960,353415,31,1.11,1.6,1981,2161,17391,,,,,,,,200666,16,1.13,1.6,995,1106,9217,131100,3,11,3.82,0.7,429,1628,4095,
MariStiko TTV,630939,63,1.25,1.8,3598,4410,26578,1703784,827,2.31,12.5,6621,13391,64541,330952,145,2.35,11,1323,2764,13378,856409,206,1.4,4.8,4259,5694,35007,835655,79,54,9.23,6,1312,11376,17552,
Méalune,286285,54,0.79,2.4,2263,1741,12650,2237511,1351,1.08,9.8,13749,13331,85387,253687,99,1.31,8.8,1127,1347,10585,750640,171,0.86,3.4,5056,4193,32079,601723,97,91,4.84,5,1940,8924,16334,
Stufdyamomma,772123,283,2.2,6.5,4359,8956,27424,1656068,904,2.5,9.9,9107,20496,62959,163539,35,1.79,3.9,904,1558,7455,933575,399,2.2,5.7,6978,14466,36602,47910,28,36,1.95,3.5,809,1521,1855,
zeemace,1124144,366,1.45,5.9,6233,8501,45636,922166,671,2.4,16.8,3984,7952,34030,350206,218,3.59,20.2,1077,3081,12835,1128282,544,1.9,10,5462,9338,43406,298063,43,38,3.61,4.5,961,3311,9467,
Montiso,934132,156,1.44,3.1,5063,7072,43052,811360,407,1.71,4.2,9761,16001,33611,684630,139,1.6,4.4,3190,4887,34626,1094469,241,1.52,2.9,8278,12232,50932,22297,24,34,1.88,11,219,367,708,
Code SAFE,97508,54,1.76,5.4,1008,1681,3643,1998448,2310,4.14,30.2,7641,22045,56320,686505,328,2.91,12.8,2555,6482,27086,741259,396,2.14,9.5,4151,8041,27677,255154,76,68,5.98,10.9,698,3722,4471,
