name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,source
OopsThatzYoAzz#5141940,59,1194,0.829742877,9,22,6,110,4843,145,157,3.020833333,48,216,20453,180517,205.6675862,25296,1439,
FLAMINGSKULL914#2547678,9,273,0.853125,8,9,7,110,1034,31,53,2.583333333,12,64,4173,42304,218.7290323,5207,320,
anon35772437#5533250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
camiloColombia98#6574522,0,14,0.875,0,2,0,0,0,8,3,8,0,0,0,6600,0,0,16,
teamrunit1989,51,620,0.923994039,8,15,5,15,2049,99,144,3.807692308,26,88,11955,102620,264.3575758,14004,671,
me_em16g#3599853,167,1681,0.362206421,7,26,9,26,5018,319,269,2.2,145,560,16224,253160,306.4645768,21242,4641,
Lettice#8092253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
scrappy-tapioca#5495538,68,966,0.647453083,16,18,7,4,2438,137,154,2.403508772,57,146,15022,136877,286.7956204,17460,1492,
yamaha101101#9675698,1,1,0.111111111,0,1,0,0,0,5,0,5,0,0,0,950,0,0,9,
JonasTjapech#1674057,22,27,0.586956522,0,5,0,0,0,22,9,22,0,0,0,19431,0,0,46,
ThG1#4161657,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Killabone1198#8731481,0,1,0.071428571,0,1,0,0,0,6,0,6,0,0,0,1100,0,0,14,
t1g_0le_bitties#5424325,5,35,0.265151515,3,2,2,0,148,10,9,2.5,4,18,1818,5125,271.26,1966,132,
Miguelillo3945#2220126,1,5,0.128205128,1,2,0,110,4,18,2,18,0,6,45,6575,12.4,49,39,
GhostSorry#7214420,70,1977,1.0544,10,28,6,2,9133,130,279,2.407407407,54,348,41830,280520,305.4646154,50963,1875,
CH1LL3V#5957400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
IRKUS7125#4280617,89,741,0.698397738,8,24,4,110,1934,191,135,11.9375,16,190,9882,212650,74.9591623,11816,1061,
xancito__#7289912,0,3,0.333333333,0,1,0,0,0,4,1,4,0,0,0,1875,0,0,9,
UCD_281771416519uYRhqsfRpHGKejDmgnRU,1,1,0.166666667,1,1,0,0,5,1,0,1,0,0,49,100,40.2,54,6,
FunkyPants#6026422,0,5,0.3125,0,1,0,0,0,8,2,8,0,0,0,2800,0,0,16,
